id_artigo,ano,titulo,autores,abstract,topic_tfidf,tema_tfidf,topic_bertopic,tema_bertopic
11,2025,Mulheres em Cargo de Liderança em Tecnologia: Uma Análise Fenomenológica,Safyre A. Farao (UFSC); Andréa Sabedra Bordin (UFSC),"Existe uma grande desigualdade de gênero em cargos de gestão na área de Tecnologias da Informação. O presente estudo possui o intuito de entender quais as trajetórias percorridas por mulheres que ocupam cargos de gestão e assumem papéis de liderança em TI, incluindo os desafios, as estratégias de superação e as motivações para buscarem essas posições. A pesquisa adotou uma abordagem qualitativa fenomenológica, com dados coletados por meio de cinco entrevistas, a partir dos quais descreveu-se a essência das experiências vivenciadas por essas mulheres. Aspectos em comum sobre a trajetória percorrida até a posição de liderança, os desafios enfrentados antes e durante a liderança, assim como as estratégias de superação são apresentados. Os resultados encontrados podem ser úteis para o desenvolvimento de politicas que impulsionem e retenham mais mulheres em posições de liderança.",4,Cluster 4,4,4_the_tecnologia_mulheres_informática
12,2025,Voices in Code: estudo de caso acerca da trajetória das mulheres em um curso de Ciência da Computação,Dyelle H. N. Almeida (UERN); Allany S. Rodrigues (UERN); Ingrid G. C. Lira (UERN); Lyziane da S. Nogueira (UERN); Sebastião E. A. Filho (UERN); Ceres G. B. Morais (UERN),"Este artigo apresenta uma análise da trajetória das mulheres em um Curso de Ciência da Computação. Abrangendo uma variedade de experiências, desafios e perspectivas, busca-se compreender as barreiras enfrentadas por elas ao integrar uma faculdade historicamente dominada por estudantes do sexo masculino. Para coletar estas informações, foram aplicados questionários com cerca de 44% do total de egressas, contendo perguntas sobre sua motivação para ingressar no Curso, dificuldades no percurso acadêmico e desafios no cenário profissional. Os resultados apontam que, além do baixo número de ingressantes, elas enfrentaram, e ainda enfrentam, problemas relacionados ao alto índice de evasão, preconceito, discriminação e falta de políticas de apoio. Isto mostra os desafios existentes com relação ao gênero na computação e na formação de uma sociedade mais igualitária e inclusiva.",5,Cluster 5,8,8_preconceito_políticas_dados_homens
13,2025,Hackathon 360: Estimulando Meninas na Computação em Projetos de Robótica Social para Educação,Tainá G. Souza (UFF); Marcia Flores (UFF); Nathália Monteiro (UFF); Estéfani Eller (UFF); Sandy Cabral (UFF); Adelmo Lima (UFF); Aline P. Nascimento (UFF); Débora C. Muchaluat-Saade (UFF); Luciana C. C. Salgado (UFF),"Este artigo investiga como a participação de estudantes mulheres em projetos com robótica social para criação de soluções inovadoras para problemas reais pode estimular meninas a aprender mais sobre a área das TICs rompendo estereótipos. O estudo foi realizado por meio de um hackathon e a pesquisa adotou uma abordagem qualitativa e exploratória, com codificação dos dados das alunas, mentoras e professoras da educação básica. Os resultados indicam sete aspectos que foram estimulados: percepção da utilidade do trabalho e impacto social, autoeficácia e confiança, apropriação das atividades, satisfação na realização das atividades, superação de desafios, senso de pertencimento e trabalho colaborativo.",1,Cluster 1,5,5_skills_soft_escolas_ensino
14,2025,Iniciativas de ensino de programação para mulheres: Um mapeamento sistemático,Sthefany Ferreira (UFAC); Gabriela Santos (UFAC); Victoria Cavalcante (UFAC); Alessandreia Oliveira (UFJF); Catarina Costa (UFAC),"O crescente avanço da Tecnologia aliada à programação permeia a escolha por carreiras na área de Ciências Exatas e suas Tecnologias. Entretanto, há uma baixa representatividade feminina na área de Tecnologia e em cursos de computação. Iniciativas como o Programa Meninas Digitais (PMD), ligado à Sociedade Brasileira de Computação (SBC), incentivam a participação e permanência de mulheres na computação e mudar essa realidade. Nesse sentido, este artigo buscou mapear as ações voltadas para o ensino de programação através de um Mapeamento Sistemático. Como resultado, 75 trabalhos foram analisados e foi identificado que as ações se concentram em oficinas e cursos e que as linguagens mais adotadas são Scratch e Python.",2,Cluster 2,25,25_prêmios_métricas_ações_concentração
15,2025,Trajetória feminina nos últimos 10 anos em curso de Sistemas de Informação situado no interior de pequeno estado do Nordeste do Brasil,Mai-Ly V. A. S. Faro (UFS); Alessandra C. N. Lima (UFS); Raphael P. de Oliveira (UFS); Fernanda M. B. Souza (UFS); Gabriella N. dos S. da Silva (UFS),"Por métodos quantitativos e qualitativos, a pesquisa investigou a trajetória feminina no curso de Sistemas de Informação do campus de Itabaiana, interior de pequeno estado do Nordeste do Brasil nos últimos 10 anos. A análise quantitativa revelou baixa representatividade feminina, sem diferenças significativas no desempenho acadêmico entre os gêneros. Já a análise qualitativa identificou que desafios como necessidade de trabalhar, falta de empatia e flexibilidade dos professores, estereótipos de gênero e fatores emocionais são dificultadores e contribuem para a evasão. Contudo, a alta empregabilidade em TI, trabalho remoto, interesse por tecnologia e redes de apoio são apontados como atrativos e motivadores para a permanência das alunas.",5,Cluster 5,3,3_brasil_feminina_cursos_superior
16,2025,Mulheres na Computação: uma análise baseada em Teoria Fundamentada nos Dados para o curso de Sistemas de Informação do IFS/Campus Lagarto,Larissa de G. Barreto (IFS); Catuxe V. de S. Oliveira (IFS); Luiz Diego V. Santos (UEFS); Jislane S. S. de Menezes (IFS); Vana Hilma V. Carvalho (IFS); Cristiane O. de Santana (IFS),"O artigo traz uma investigação sobre a presença de mulheres na Computação, campo marcado pela desigualdade de gênero, aplicando a Teoria Fundamentada nos Dados. A pesquisa coletou dados através de entrevistas semiestruturadas junto às egressas do curso de Sistemas de Informação do IFS, campus Lagarto, para identificar barreiras enfrentadas na formação e na carreira. Os resultados revelam que aspectos culturais, a falta de incentivo desde a infância e um ambiente predominantemente masculino desestimulam a sua participação, destacando a necessidade de um local de aprendizado inclusivo, sugerindo iniciativas como programa de mentoria e promoção de modelos femininos para estimular a presença no setor tecnológico.",4,Cluster 4,21,21_identificou_fatores_desigualdade_traço
17,2025,O Papel da Mulher nos Jogos Digitais: Um Mapeamento Sistemático da Literatura,Mayara L. de F. Neves (UFPR); Clausius D. G. Reis (UFPR); Rachel C. D. Reis (UFPR),"Atualmente, os jogos digitais são uma das formas de entretenimento mais populares. No entanto, observa-se a falta de estudos que ofereçam uma visão mais abrangente sobre a atuação feminina na indústria dos jogos. Logo, este estudo realiza um mapeamento sistemático da literatura, analisando 81 estudos relevantes. A pesquisa revela que a maioria dos estudos se concentra nas experiências das mulheres como jogadoras e personagens, enquanto sua presença na criação de jogos e participação de eventos é pouco explorada. Os resultados indicam que, apesar do aumento da participação feminina no setor, ainda persistem desafios, como ambientes hostis em jogos online, estereótipos na construção de personagens e a baixa inclusão de mulheres.",3,Cluster 3,10,10_jogos_personagens_digitais_desenvolvimento
18,2025,Um Panorama da Presença Feminina nos Programas de Pós-Graduação em Ciência da Computação Brasileiros - Um Estudo Bibliométrico –,Rosane Teles Lins Castilho (UFRJ); Fabio Castro Gouveia (UFRJ),"A ciência continua a sub-representar as mulheres em todos os níveis acadêmicos nos dias de hoje. Isto aplica-se também à sua representação nos departamentos de ciência da computação mundo afora, onde estudos recentes mostram que mulheres representam entre 20 e 24% dos corpos docentes. O presente estudo bibliométrico procura preencher parte da lacuna de análises sobre a representação feminina, produção acadêmica (publicações) e áreas de pesquisa da Ciência da Computação brasileira, através das docentes vinculadas aos programas de pós-graduação em Ciência da Computação nota 7, na avaliação da CAPES, dos quadriênios 2013-2016 e 2017-2020. Os resultados revelam semelhanças aos do nível internacional",5,Cluster 5,-1,-1_computação_mulheres_meninas_cursos
19,2025,Desafios e Motivações de Mulheres na Computação - Análise de Entrevistas de um Podcast,Tainara Silva Novaes (UTFPR); Larissa Behrens Soares (UTFPR); Adolfo Neto (UTFPR); Mariangela Setti (UTFPR); Maria Claudia Figueiredo Pereira Emer (UTFPR),"A presença feminina ainda é significativamente menor que a masculina nas áreas de Ciência, Tecnologia, Engenharia e Matemática (STEM), refletindo uma desigualdade de gênero persistente nesses ambientes. O Projeto Emílias tem realizado ações para incentivar a presença de mulheres na computação. Este estudo analisa entrevistas do Emílias Podcast para identificar desafios enfrentados e fatores que podem motivar meninas a atuarem nessa área. O objetivo do estudo é ampliar o debate sobre equidade de gênero e destacar a importância de iniciativas de inclusão. O método foi baseado na Teoria Fundamentada Sociotécnica. Os resultados apontam diversos preconceitos e a relevância de redes de apoio para a permanência feminina na área.",4,Cluster 4,26,26_dados_abertos_stem_emílias
20,2025,Redes Sociais na Divulgação de uma Iniciativa por e para Mulheres na Computação,Heloisa Benedet Mendes (UFPR); Mayara Lessnau de Figueiredo Neves (UFPR); Thalita Maria do Nascimento (UFPR); Barbara Reis dos Santos (UFPR); Sofia Wamser Lima (UFPR); Clausius Duque Gonçalves Reis (UFPR); Rachel Carlos Duque Reis (UFPR),"As redes sociais conectam bilhões de pessoas, mas seu uso na educação ainda é limitado. Diante deste cenário, este estudo analisa o impacto do uso dessas plataformas na promoção de uma iniciativa acadêmica voltada para atrair e apoiar mulheres na área de Computação. Para isso, a pesquisa foi dividida em duas partes: (1) análise dos vídeos publicados no Instagram e TikTok da iniciativa concat(Gurias) e (2) pesquisa sobre a influência desses materiais na escolha dos cursos de computação da UFPR. Os resultados evidenciam a relevância das redes sociais tanto na divulgação da iniciativa concat(Gurias) voltada para a inclusão feminina, quanto na atração de mulheres para a computação.",4,Cluster 4,24,24_instagram_engajamento_postagens_descritiva
21,2025,Avaliação de Desempenho por Sexo Biológico nos Cursos de Ciência da Computação e Engenharia de Software,Sofia de C. Sato (UFAM); André Y. S. Okimoto (UFAM); Yago de J. B. Lobato (UFAM); João C. N. Nogueira (UFAM); Guilherme L. de S. e Souza (UFAM); Ana L. M. dos Santos (UFAM); Leandro S. G. de Carvalho (UFAM); Tanara Lauschner (UFAM); Fabíola G. Nakamura (UFAM); Eduardo F. Nakamura (UFAM),"O pequeno percentual de mulheres em cursos de computação questiona o desempenho do grupo feminino no ambiente acadêmico. Visando avaliar se o sexo dos estudantes influencia a jornada estudantil, foi proposta uma pesquisa utilizando indicadores educacionais e dados dos cursos de Ciência da Computação (CC) e Engenharia de Software (ES) da Universidade Federal do Amazonas. Os resultados demonstram que as mulheres acompanham o desempenho dos homens e, em alguns casos, os superam. Por exemplo, a mediana da taxa de conclusão feminina é 4,2 pontos percentuais a mais que a masculina para CC e 13,3 para ES. Isso indica que o sexo feminino não é inferior em desempenho comparado ao masculino e é igualmente capacitado para os cursos e suas complexidades.",5,Cluster 5,20,20_desempenho_feminino_meninos_es
22,2025,Análise do perfil das estudantes do curso de Sistemas de Informação do IFS/Campus Lagarto: um primeiro passo para a inclusão e permanência das mulheres na área de tecnologia,Larissa de G. Barreto (IFS); Catuxe V. de S. Oliveira (IFS); Luiz Diego V. Santos (UEFS); Jislane S. S. de Menezes (IFS); Vana H. V. Carvalho (IFS); Cristiane O. de Santana (IFS),"Este artigo analisa o perfil das estudantes do curso de Sistemas de Informação do Instituto Federal de Sergipe, motivado pela importância de compreender suas características para promover sua inclusão e permanência na área de tecnologia. Utilizando dados extraídos de relatórios gerenciais e questionários aplicados as alunas, o estudo investigou aspectos como idade, ocupação, vida acadêmica e percepções sobre a representatividade feminina. Os resultados revelam que, embora a maioria das alunas esteja na faixa etária de 21 a 25 anos, um alto percentual enfrentou reprovações em disciplinas. A falta de referências femininas sugere uma oportunidade para o desenvolvimento de políticas institucionais que estimulem um ambiente mais acolhedor e inclusivo na educação superior.",5,Cluster 5,8,8_preconceito_políticas_dados_homens
23,2025,As Causas Sistêmicas por trás do Viés de Gênero em IA: Um Mapeamento Sistemático da Literatura,Rafaela Toledo Dolabella (UFV); Thais Regina de Moura Braga Silva (UFV); Gláucia Braga e Silva (UFV); Estela Miranda Batista (UFV),"A Inteligência Artificial (IA) tem transformado o cotidiano das pessoas, impactando decisões críticas em diversas áreas, como saúde, segurança e mercado de trabalho. Contudo, seu uso levanta preocupações éticas e sociais, especialmente no que diz respeito aos vieses presentes em sistemas de IA. Este trabalho aborda especificamente o viés de gênero, investigando as causas sistêmicas (dados, viés algorítmico e comportamento do usuário) por trás desse problema por meio de um Mapeamento Sistemático da Literatura (MSL). A pesquisa analisou 176 estudos provenientes das bases IEEE Xplore, ACM Digital Library e Scopus, dos quais 12 foram considerados relevantes para o objetivo do trabalho. A seleção foi orientada por critérios de inclusão e exclusão. A análise identificou que a maioria dos artigos encontrados aborda o uso de dados enviesados como causa do viés de gênero, seguido do viés algorítmico, encontrado em metade dos estudos. O comportamento do usuário ainda é pouco explorado, aparecendo como foco principal em apenas um trabalho.",4,Cluster 4,6,6_pesquisa_egressas_estudo_viés
24,2025,Entendendo melhor o processo de decisão para ingressar em cursos de tecnologia na Universidade Federal da Paraíba,Raquel Vigolvino Lopes (UFPB); Renata Viegas de Figueiredo (UFPB); Maria Gabriella Freire F. S. de Oliveira (UFPB); Maria Victoria M. de Araujo (UFPB); Dayanny Soares (UFPB),"Este artigo analisa fatores que influenciam a escolha por cursos de tecnologia na Universidade Federal da Paraíba (UFPB), com foco nas diferenças de gênero. Através de um questionário baseado no estudo de Wang et al. (2015) foram coletados dados de 159 estudantes de cursos de TI da UFPB. Os resultados destacam a exposição prévia à tecnologia e o apoio familiar — especialmente importante para mulheres — como elementos decisivos. A maioria não teve incentivo escolar nem participou de eventos da área. As mulheres enxergam desvantagem por serem mulheres na área. O estudo reforça a importância de compreender esses fatores para elaboração de políticas mais equitativas e ações de conscientização.",5,Cluster 5,8,8_preconceito_políticas_dados_homens
25,2025,Avaliação Retrospectiva da Experiência de uma Coorte de Egressas de um Curso de Introdução à Programação para Alunas do Ensino Médio e Concluintes,Juliana Martins Leoncio Eusebio (USP); Maria da Graça Campos Pimentel (USP),"Esta pesquisa combina métodos quantitativos e qualitativos para analisar respostas de 133 egressas (33% alunas do ensino médio e 67% concluintes) a um questionário sobre sua participação em cursos curtos, online e síncronos de Introdução à Computação com Python, oferecidos entre 2021 e 2024 pelo projeto Meninas Programadoras. O estudo identifica padrões de participação e examina como iniciativas inclusivas ajudam a reduzir a lacuna de gênero em tecnologia. Os resultados indicam associação entre participação, autoconfiança e interesse por carreiras tecnológicas, com correlações entre pertencimento, motivação e interesse em Computação. A análise de questões abertas reforça esses achados e evidencia impacto na experiência das alunas.",5,Cluster 5,6,6_pesquisa_egressas_estudo_viés
26,2025,Análise da Participação Feminina nos Cursos de Nível Superior da área de Computação do IFPE,Ana Carolina Barbosa dos Santos (IFPE); Ellen Patrícia Lopes de Santana (IFPE); Viviane Cristina Oliveira Aureliano (IFPE),"Embora as mulheres brasileiras apresentem, em média, um nível de instrução superior ao dos homens, elas ainda representam uma minoria nas matrículas e nas vagas de trabalho na área de Computação e Tecnologia da Informação e Comunicação (TIC). Nesse contexto, este estudo busca compreender a participação feminina nos cursos superiores de Computação do IFPE, por meio da análise dos microdados do Censo da Educação Superior disponibilizados pelo INEP. Os resultados indicam que, entre 2009 e 2022, o número de mulheres ingressantes, matriculadas e concluintes foi inferior ao dos homens. No entanto, as taxas de conclusão são baixas para ambos os gêneros. Espera-se que este trabalho contribua para se pensar em estratégias institucionais que possam superar os desafios encontrados.",5,Cluster 5,3,3_brasil_feminina_cursos_superior
27,2025,Mulheres na Ciência de Dados: Três Anos de Desafios e Avanços,Jullie Belmonte (CEFET-RJ); Kele Belloze (CEFET-RJ); Carmen Lucia A. Queiroz (CEFET-RJ); Mayara M. Omai (CEFET-RJ); Fabricio Lopes e Silva (CEFET-RJ); Rafaelli Coutinho (CEFET-RJ); Diego Brandão (CEFET-RJ),"A ciência de dados cresce como uma área estratégica no Brasil, mas a participação feminina ainda enfrenta barreiras estruturais, refletindo desigualdades salariais e baixa representatividade em cargos de liderança. Este estudo analisa a evolução da presença feminina no setor no Brasil com base nos dados das pesquisas State of Data Brazil entre 2021 e 2023. A investigação considera variáveis como distribuição salarial, senioridade, experiência e ocupação de liderança. Os resultados apontam avanços graduais da participação feminina, mas destacam desigualdades persistentes, especialmente no acesso a posições estratégicas. O estudo destaca a necessidade de ações concretas que promovam equidade de gênero na área.",4,Cluster 4,3,3_brasil_feminina_cursos_superior
28,2025,Oficinas de Pensamento Computacional: explorando a experiência de estudantes sob a perspectiva de gênero,Sofia Bento Desidério (UFC); Marina Azevedo (UFC); Mayronn Gomes Viana (UFC); Aline Nunes (UFC); Maria Julia Siqueira (UFC); Ylana Torres (UFC); Jayne Cristina (UFC); Julia Barros (UFC); Valéria da Silva Pinheiro (UFC); Anna Beatriz Marques (UFC),"A desigualdade de gênero continua sendo um grande desafio na área da Computação. A fim de auxiliar na superação desse desafio, o projeto parceiro Meninas Digitais do Vale conduziu oficinas para turmas do ensino médio e fundamental, visando introduzir a Computação e, assim, despertar um maior interesse das estudantes, mostrando a área de formas distintas, além da ótica da programação. As oficinas realizadas foram: Computação Desplugada, Hora do Código, Design Thinking e Arduino. Esta pesquisa examinou, sob a perspectiva de gênero, o feedback dos estudantes sobre as oficinas. Os resultados indicam uma percepção positiva dos participantes em relação às oficinas, demonstrando que as atividades foram igualmente bem recebidas pelos diferentes gêneros. No entanto, observou-se uma disparidade de gênero ao analisar a intenção dos estudantes em seguir carreira na Computação.",0,Cluster 0,-1,-1_computação_mulheres_meninas_cursos
29,2025,Mulheres na Computação no Brasil: Um Mapeamento Cienciométrico das Produções Científicas do Women in Information Technology (WIT) de 2016 a 2024,Vinicius Schineider Januário Viana (IFMA); Gabriel Vieira Lima (IFMA); Aricelma Costa Ibiapina (IFMA); Simone Azevedo Bandeira de Melo Aquino (IFMA),"A participação feminina na computação tem sido amplamente estudada, com o Women in Information Technology (WIT) desempenhando um papel central nesse debate. Este estudo realiza uma análise cienciométrica das publicações do WIT, utilizando a base Dimensions para identificar temas, autores e instituições mais influentes. Foram analisadas 326 publicações desde 2016, destacando tendências e iniciativas voltadas à inclusão de mulheres na área. Os resultados apontam um crescimento na produção científica e reforçam a importância de políticas de incentivo. O estudo contribui ao fornecer uma visão abrangente e automatizada sobre a evolução das pesquisas no evento.",4,Cluster 4,13,13_wit_publicações_análise_anos
