primeiro_nome,genero
ANCELMO,masculino
ANDERCLEY,desconhecido
ANDERS,masculino
ANDERSON,masculino
ANDOUGLAS,desconhecido
ANDRAS,desconhecido
ANDRE,masculino
ANDREA,feminino
ANDREAS,masculino
ANDREI,masculino
ANDREIA,feminino
ANDREIS,masculino
ANDREIWID,desconhecido
ANDRELYNE,desconhecido
ANDRES,masculino
ANDRESA,feminino
ANDRESSA,feminino
ANDREW,masculino
ANDREY,masculino
ANDREZA,feminino
ANDREZZA,feminino
ANDRIELI,feminino
ANDRIO,masculino
ANDRIW,masculino
ANDROMEDA,feminino
ANDRWS,masculino
ANDRYEL,masculino
ANDRZEJ,desconhecido
ANDSON,masculino
ANDY,ambos
ANDYSON,desconhecido
ANE,feminino
ANELISE,feminino
ANELIZA,feminino
ANFRANSERAI,desconhecido
ANGE,desconhecido
ANGEL,ambos
ANGELA,feminino
ANGELES,desconhecido
ANGELICA,feminino
ANGELINA,feminino
ANGELITA,feminino
ANGELLO,masculino
ANGELO,masculino
ANGIE,feminino
ANILSON,masculino
ANILTON,masculino
ANIMESH,desconhecido
ANISIO,masculino
ANITA,feminino
ANJOLINA,desconhecido
ANN,feminino
ANNA,feminino
ANNABELL,desconhecido
ANNABELLE,feminino
ANNANDA,feminino
ANNATERCIA,desconhecido
ANNE,feminino
ANNE-CECILE,desconhecido
ANNEBETH,desconhecido
ANNELIZE,feminino
ANNELYELTHON,desconhecido
ANNIBAL,masculino
ANNIE,feminino
ANNY,feminino
ANOLAN,desconhecido
ANRAFEL,desconhecido
ANSELM,desconhecido
ANSELMO,masculino
ANSHU,desconhecido
ANSHUL,desconhecido
ANTHONY,masculino
ANTOANNE,desconhecido
ANTOGIO,desconhecido
ANTOINE,masculino
ANTON,masculino
ANTONELA,feminino
ANTONIA,feminino
ANTONIELY,feminino
ANTONILMAR,desconhecido
ANTONINO,masculino
ANTONIO,masculino
ANTONIOS,desconhecido
ANTONIU,desconhecido
ANTONY,masculino
ANTONYUS,desconhecido
ANTUNES,masculino
ANUBIS,desconhecido
ANY,feminino
APARECIDA,feminino
APARECIDADO,desconhecido
APOEMA,desconhecido
APRIGIO,masculino
APUENA,desconhecido
AQUEO,desconhecido
AQUILES,masculino
ARACELLY,feminino
ARAKEN,masculino
ARANILDO,masculino
ARATA,desconhecido
ARAVIND,desconhecido
ARCILAN,desconhecido
ARDAVAN,desconhecido
AREDIS,desconhecido
ARETHA,feminino
AREZOO,desconhecido
ARGILENA,desconhecido
ARGUS,masculino
ARHUR,masculino
ARIADNA,feminino
ARIADNE,feminino
ARIAM,masculino
ARIANE,feminino
ARIANNE,feminino
ARICELMA,feminino
ARIDAN,desconhecido
ARIE,masculino
ARIEL,masculino
ARILISE,desconhecido
ARILO,masculino
ARILSON,masculino
ARILTON,masculino
ARISSA,feminino
ARISTENIO,masculino
ARISTOFANES,masculino
ARISTOTELAS,desconhecido
ARISTOTELES,masculino
ARIVAN,masculino
ARKADIUSZ,desconhecido
ARKELLENISE,desconhecido
ARLAN,masculino
ARLANA,feminino
ARLEI,masculino
ARLESSON,masculino
ARLETE,feminino
ARLEY,masculino
ARLIENE,feminino
ARLINDO,masculino
ARLLON,desconhecido
ARMANDO,masculino
ARNALDO,masculino
ARNAUD,masculino
ARNAULD,desconhecido
ARNDT,desconhecido
ARNO,masculino
ARNOLD,masculino
ARNOLDO,masculino
ARNON,masculino
ARNOR,masculino
ARON,masculino
ARPITH,desconhecido
ARQUIMEDES,masculino
ARSENIA,feminino
ARTEJOSE,desconhecido
ARTELINO,masculino
ARTEM,desconhecido
ARTHUR,masculino
ARTHUS,masculino
ARTIERES,desconhecido
ARTUR,masculino
ARTURAS,desconhecido
ARTURO,masculino
ARUN,desconhecido
ARUNA,desconhecido
ARUNACHALAM,desconhecido
ARVID,desconhecido
ARVIND,desconhecido
ARY,masculino
ARYCLENIO,desconhecido
ARYELSON,desconhecido
ARYSLENE,desconhecido
ASAFE,masculino
ASHLEY,feminino
ASHWATH,desconhecido
ASIF,desconhecido
ASLA,feminino
ASLEI,masculino
ASLEY,masculino
ASM,desconhecido
ASSAYA,desconhecido
ASSER,desconhecido
ASSIA,desconhecido
ASSIS,masculino
ASSUCENA,feminino
ASTERIO,masculino
ATHAMS,desconhecido
ATHUS,masculino
ATHYRSON,masculino
ATILA,masculino
ATILIO,masculino
ATIYA,desconhecido
ATRICIA,feminino
ATSLANDS,desconhecido
ATSUSHI,desconhecido
ATUL,desconhecido
AUANY,feminino
AUDREA,feminino
AUGUST,masculino
AUGUSTO,masculino
AULOS,desconhecido
AURA,feminino
AUREA,feminino
AURELIANNY,desconhecido
AURELIE,desconhecido
AURELIO,masculino
AURI,provavelmente_masculino
AURISLANIA,desconhecido
AURORA,feminino
AUSBERTO,desconhecido
AUTRAN,masculino
AUZUIR,desconhecido
AVANILDE,feminino
AVELINO,masculino
AVILA,feminino
AVNER,masculino
AWAIS,desconhecido
AWDREN,desconhecido
AXAHELLEN,desconhecido
AXEL,masculino
AYA,feminino
AYAME,desconhecido
AYANE,feminino
AYDANO,desconhecido
AYDIN,desconhecido
AYLA,feminino
AYLANE,feminino
AYNA,feminino
AYNOA,feminino
AYRLA,feminino
AYRLES,desconhecido
AYRTON,masculino
AYRTTON,desconhecido
AYSA,feminino
AYSLAN,masculino
AYSLANYA,desconhecido
AYSSES,desconhecido
AYSY,desconhecido
AZRIEL,desconhecido
AZZEDINE,desconhecido
B.,desconhecido
BABACAR,desconhecido
BALAJI,desconhecido
BALDOINO,masculino
BALTHAZAR,desconhecido
BARBARA,feminino
BARRY,desconhecido
BARTHOLOMEO,desconhecido
BARTIRA,feminino
BASTIEN,desconhecido
BAUER,masculino
BE,desconhecido
BEATRIZ,feminino
BEGMA,desconhecido
BEHZAD,desconhecido
BELENI,desconhecido
BELMIR,masculino
BELMONDO,desconhecido
BEN,masculino
BEN-HUR,desconhecido
BENCE,desconhecido
BENEDICT,desconhecido
BENEDIKT,desconhecido
BENEDITO,masculino
BENEILDO,masculino
BENEVID,desconhecido
BENJAMIN,masculino
BENOIT,desconhecido
BENT,desconhecido
BERG,masculino
BERGSON,masculino
BERNADETE,feminino
BERNADETTE,feminino
BERNARD,masculino
BERNARDETTE,desconhecido
BERNARDO,masculino
BERND,masculino
BERNHARD,masculino
BERNNY,desconhecido
BERTHIER,desconhecido
BERTIL,desconhecido
BERTO,masculino
BETANIA,feminino
BETANNY,desconhecido
BETHANIA,feminino
BEZERRA,masculino
BHARAT,desconhecido
BHARATH,desconhecido
BHAVISHYA,desconhecido
BHRUNO,desconhecido
BIAGIO,masculino
BIANCA,feminino
BIANCHI,desconhecido
BIANNY,desconhecido
BIBIANA,feminino
BIKESH,desconhecido
BILL,masculino
BILLY,masculino
BING,desconhecido
BINOY,desconhecido
BIOFOCO,desconhecido
BIONDA,feminino
BISWABANDAN,desconhecido
BLAIONY,desconhecido
BLANDA,feminino
BLENDA,feminino
BO,desconhecido
BOGDAN,desconhecido
BONNY,desconhecido
BORIS,masculino
BORJA,desconhecido
BORROSA,desconhecido
BOSCO,masculino
BOURAOUI,desconhecido
BRADFORD,desconhecido
BRADY,desconhecido
BRANDELL,desconhecido
BRANDON,masculino
BRANIMIR,desconhecido
BRAULIO,masculino
BRAUNER,masculino
BRAYNER,masculino
BRENA,feminino
BRENDA,feminino
BRENDEL,masculino
BRENDO,masculino
BRENNO,masculino
BRENO,masculino
BRETT,desconhecido
BREVIK,desconhecido
BRIAN,masculino
BRICE,desconhecido
BRIGGETTE,desconhecido
BRIGIDA,feminino
BRIGITTE,feminino
BRITALDO,desconhecido
BRIZA,feminino
BRONSON,desconhecido
BRUCCE,desconhecido
BRUCCY,desconhecido
BRUCE,masculino
BRUNA,feminino
BRUNDO,desconhecido
BRUNELLI,feminino
BRUNO,masculino
BRUNOO,desconhecido
BRYAM,masculino
BRYAN,masculino
BRYCE,desconhecido
BUKHTAWAR,desconhecido
BULENT,desconhecido
BURKHARD,desconhecido
BYRON,masculino
BYUNGHYUN,desconhecido
BYUNGJUN,desconhecido
BYUNGMIN,desconhecido
C.,desconhecido
CABRAL,masculino
CACIANO,masculino
CADIDJA,desconhecido
CAEATANO,desconhecido
CAEL,masculino
CAETANO,masculino
CAFER,desconhecido
CAIAN,masculino
CAINA,masculino
CAINAN,masculino
CAIO,masculino
CAIQUE,masculino
CAIRO,masculino
CAISHENG,desconhecido
CAITLYNN,desconhecido
CALDEIRA,desconhecido
CALEBE,masculino
CALIOPE,desconhecido
CALLEO,desconhecido
CALTON,desconhecido
CAMELIA,feminino
CAMILA,feminino
CAMILE,feminino
CAMILLA,feminino
CAMILLE,feminino
CAMILLO,masculino
CAMILO,masculino
CANDICE,feminino
CANDIDA,feminino
CANDY,feminino
CANQUN,desconhecido
CARA,feminino
CARDEQUE,desconhecido
CARIBE,desconhecido
CARINA,feminino
CARINE,feminino
CARLA,feminino
CARLIELSON,masculino
CARLISSON,masculino
CARLLOS,masculino
CARLO,masculino
CARLOS,masculino
CARLOS-ERNESTO,desconhecido
CARLOSSANDRO,desconhecido
CARLYLE,masculino
CARMELO,masculino
CARMEM,feminino
CARMEN,feminino
CARMENISIA,desconhecido
CARMO,masculino
CARNOT,desconhecido
CAROL,feminino
CAROLAINE,feminino
CAROLE,feminino
CAROLIN,feminino
CAROLINA,feminino
CAROLINE,feminino
CAROLINNE,feminino
CAROLLINE,feminino
CAROLYN,feminino
CARPEGIERI,desconhecido
CASSIA,feminino
CASSIANO,masculino
CASSIO,masculino
CASSYRA,desconhecido
CATARINA,feminino
CATARINE,feminino
CATHERINE,feminino
CATIA,feminino
CATUXE,desconhecido
CAUA,masculino
CAUE,masculino
CAYK,masculino
CAYLEY,desconhecido
CAYNDO,desconhecido
CECILE,desconhecido
CECILIA,feminino
CEDENIR,masculino
CEDRIC,masculino
CEFAS,masculino
CELCINO,masculino
CELESTE,feminino
CELESTINA,feminino
CELIA,feminino
CELICE,feminino
CELINA,feminino
CELINE,feminino
CELIO,masculino
CELMAR,masculino
CELSO,masculino
CENEZ,desconhecido
CEPHAS,desconhecido
CERES,feminino
CESAR,masculino
CEZANE,desconhecido
CH.,desconhecido
CHAFIC,desconhecido
CHAIANI,feminino
CHAIYONG,desconhecido
CHAK,desconhecido
CHANG-BURM,desconhecido
CHANGHOAN,desconhecido
CHANGJIANG,desconhecido
CHANGSOO,desconhecido
CHANTAL,feminino
CHAO,desconhecido
CHAOPENG,desconhecido
CHAOTING,desconhecido
CHARBEL,masculino
CHARLES,masculino
CHARLLES,masculino
CHARU,desconhecido
CHAULIO,desconhecido
CHAYNER,desconhecido
CHEDY,desconhecido
CHEN,ambos
CHENG,masculino
CHERYL,desconhecido
CHESSMAN,desconhecido
CHEURI,desconhecido
CHI-BIN,desconhecido
CHIA-JUI,desconhecido
CHIARA,feminino
CHING-FARN,desconhecido
CHIYOUNG,desconhecido
CHONGMIN,desconhecido
CHRIS,provavelmente_feminino
CHRISTHIAN,masculino
CHRISTIAN,masculino
CHRISTIAN-ALEJANDRO,desconhecido
CHRISTIANE,feminino
CHRISTIANO,masculino
CHRISTINA,feminino
CHRISTINE,feminino
CHRISTOF,desconhecido
CHRISTOPH,masculino
CHRISTOPHE,masculino
CHRISTOPHER,masculino
CHRISTOS,desconhecido
CHRISTOVAM,masculino
CHRYSOSTOMOS,desconhecido
CHRYSTALLA,desconhecido
CHRYSTINNE,desconhecido
CHRYSTOPHER,masculino
CHUNGMAN,desconhecido
CHUNHUA,desconhecido
CIBELE,feminino
CIBELLE,feminino
CICELIANE,desconhecido
CICERO,masculino
CID,masculino
CIDCLEY,masculino
CIDES,desconhecido
CINARA,feminino
CINGLAIR,desconhecido
CINIRO,desconhecido
CINTHIA,feminino
CINTHYAN,desconhecido
CINTIA,feminino
CINZIA,desconhecido
CION,desconhecido
CIRANO,masculino
CIRNEY,desconhecido
CIRO,masculino
CLAES,desconhecido
CLAHILDEK,desconhecido
CLAIRON,desconhecido
CLAISA,feminino
CLAITON,masculino
CLALBER,desconhecido
CLARA,feminino
CLARIMAR,ambos
CLARISSA,feminino
CLARISSE,feminino
CLARIVANDO,desconhecido
CLARO,masculino
CLAUBIO,desconhecido
CLAUCIANE,feminino
CLAUCIDA,desconhecido
CLAUDE,provavelmente_masculino
CLAUDETE,feminino
CLAUDIA,feminino
CLAUDIANE,feminino
CLAUDIANY,feminino
CLAUDINE,provavelmente_feminino
CLAUDINEI,masculino
CLAUDINEIA,feminino
CLAUDINY,desconhecido
CLAUDIO,masculino
CLAUDIR,masculino
CLAUDIVAN,masculino
CLAUDSON,masculino
CLAUIRTON,desconhecido
CLAUNIR,masculino
CLAUSE,feminino
CLAUSIUS,desconhecido
CLAUTENIS,desconhecido
CLAVER,desconhecido
CLAYSON,masculino
CLAYTON,masculino
CLEANDRO,masculino
CLEBER,masculino
CLEBERT,masculino
CLECIO,masculino
CLEDISSON,masculino
CLEDJA,feminino
CLEDSON,masculino
CLEIA,feminino
CLEICY,feminino
CLEIDE,feminino
CLEIDSON,masculino
CLEILLYSON,desconhecido
CLEILTA,desconhecido
CLEILTON,masculino
CLEISON,masculino
CLEISSON,masculino
CLEITIANNE,desconhecido
CLEITON,masculino
CLEMENT,desconhecido
CLEMENTE,masculino
CLEMENTINE,desconhecido
CLENDSON,desconhecido
CLENIMAR,desconhecido
CLENIVAL,desconhecido
CLEO,provavelmente_masculino
CLEON,masculino
CLEONE,provavelmente_masculino
CLEONICE,feminino
CLEOVALDO,masculino
CLESIA,feminino
CLESIO,masculino
CLESLEI,masculino
CLEUNIO,desconhecido
CLEVAN,desconhecido
CLEVERSON,masculino
CLEVERTON,masculino
CLEVEX,desconhecido
CLEVI,provavelmente_feminino
CLEVITON,masculino
CLEYCIANE,feminino
CLEYFANE,desconhecido
CLEYMONE,desconhecido
CLEYTON,masculino
CLIFF,masculino
CLIUDIO,desconhecido
CLODIS,desconhecido
CLODOALDO,masculino
CLODOMIR,masculino
CLODOVEU,masculino
CLOVIS,masculino
CLYDE,desconhecido
COLM,desconhecido
CONGFENG,desconhecido
CONGMIAO,desconhecido
CONNOR,desconhecido
CONOR,desconhecido
CONSTANTINO,masculino
CONSTANTINOS,desconhecido
CORMAC,desconhecido
CORNELI,desconhecido
COSIMO,desconhecido
CRAIG,desconhecido
CREDINE,desconhecido
CRELISON,desconhecido
CRESCENCIO,masculino
CRETO,desconhecido
CREYTON,desconhecido
CRHISTIANE,feminino
CRHISTOPHER,masculino
CRICIA,feminino
CRIJINA,desconhecido
CRISCILLA,desconhecido
CRISHNA,desconhecido
CRISIANY,desconhecido
CRISSIA,feminino
CRISTHINNY,desconhecido
CRISTIAINI,desconhecido
CRISTIAN,masculino
CRISTIANA,feminino
CRISTIANE,feminino
CRISTIANI,feminino
CRISTIANNA,desconhecido
CRISTIANO,masculino
CRISTINA,feminino
CRISTINE,feminino
CRISTOBAL,desconhecido
CRISTOFER,masculino
CRISTON,masculino
CRISTOVAO,masculino
CRITINA,feminino
CRIZIAN,desconhecido
CRSITIANE,desconhecido
CRYSTIAM,desconhecido
CSABA,desconhecido
CYNTHYA,feminino
CYRIEL,desconhecido
CYRIL,desconhecido
D.,desconhecido
D.L.,desconhecido
DAEANA,desconhecido
DAFNE,feminino
DAHUAN,desconhecido
DAIANE,feminino
DAIANI,feminino
DAIANNE,feminino
DAIELLE,feminino
DAILANE,feminino
DAILNEIDE,desconhecido
DAISY,feminino
DAIVAN,masculino
DALAI,desconhecido
DALBERT,masculino
DALCIDIO,desconhecido
DALCIMAR,provavelmente_masculino
DALI,ambos
DALITON,masculino
DALMY,desconhecido
DALTON,masculino
DALTRO,masculino
DALVAN,masculino
DAMI'N,desconhecido
DAMIAN,masculino
DAMIAO,masculino
DAMIRES,feminino
DAN,masculino
DANA,feminino
DANDARA,feminino
DANDHARA,feminino
DANIEL,masculino
DANIELA,feminino
DANIELE,feminino
DANIELI,feminino
DANIELLA,feminino
DANIELLE,feminino
DANIELLI,feminino
DANIELLY,feminino
DANIELO,masculino
DANIESE,desconhecido
DANILLO,masculino
DANILO,masculino
DANIS,masculino
DANISSON,desconhecido
DANIYEL,desconhecido
DANNE,desconhecido
DANNIEL,masculino
DANNILO,masculino
DANNY,provavelmente_masculino
DANSON,desconhecido
DANTE,masculino
DANTON,masculino
DANUSA,feminino
DANUTE,desconhecido
DANYELLE,feminino
DANYLLA,desconhecido
DANYLLO,masculino
DAPHNE,feminino
DARCELE,desconhecido
DARIAM,desconhecido
DARIANE,feminino
DARICELIO,desconhecido
DARIELSON,masculino
DARIO,masculino
DARKO,desconhecido
DARLAN,masculino
DARLEY,masculino
DARLINTON,masculino
DARREN,desconhecido
DARYA,desconhecido
DAUBIAN,desconhecido
DAUSTER,desconhecido
DAUT,desconhecido
DAVE,masculino
DAVES,masculino
DAVI,masculino
DAVID,masculino
DAVIDE,masculino
DAVIDSOM,masculino
DAVIDSON,masculino
DAVILA,feminino
DAVINO,masculino
DAVYD,masculino
DAVYSON,masculino
DAWSON,masculino
DAYALLA,desconhecido
DAYANE,feminino
DAYANNE,feminino
DAYANNY,feminino
DAYDSON,desconhecido
DAYLLON,desconhecido
DAYNARA,feminino
DEAM,desconhecido
DEB,desconhecido
DEBORA,feminino
DEBORADOS,desconhecido
DEBORAH,feminino
DEBRA,feminino
DECIO,masculino
DECIOLA,desconhecido
DEFALA,desconhecido
DEGELANE,desconhecido
DEGEMAR,desconhecido
DEGLAUCY,desconhecido
DEISE,feminino
DEIVID,masculino
DEIVISON,masculino
DEIVITH,masculino
DEIZ,desconhecido
DEJAHYR,desconhecido
DELANO,masculino
DELCINO,masculino
DELEY,masculino
DELFA,desconhecido
DELIVELTON,desconhecido
DELLER,desconhecido
DELUN,desconhecido
DEMETRIUS,masculino
DEMIS,masculino
DEMORA,feminino
DEMOSTENES,masculino
DEMSON,desconhecido
DENIA,feminino
DENILSON,masculino
DENILTON,masculino
DENIO,masculino
DENIS,masculino
DENISANGELO,desconhecido
DENISE,feminino
DENISSE,feminino
DENISSON,masculino
DENIVAN,masculino
DENIVY,desconhecido
DENIZAR,masculino
DENNER,masculino
DENNIS,masculino
DENNYS,masculino
DENYS,masculino
DENYSBERG,desconhecido
DENYSON,masculino
DEOGENES,masculino
DEONI,provavelmente_masculino
DERCIO,masculino
DEREK,masculino
DERIAN,provavelmente_masculino
DERZU,desconhecido
DES,desconhecido
DEUSIANE,feminino
DEVERSON,masculino
DEVIN,desconhecido
DEYMES,desconhecido
DEYVESSON,desconhecido
DHABALESWAR,desconhecido
DHAIRYA,desconhecido
DHANIELLY,desconhecido
DHARA,feminino
DHARMESHKUMAR,desconhecido
DHENNIFER,feminino
DHILEANE,desconhecido
DHOMINI,masculino
DHRUBAJYOTI,desconhecido
DHRUV,desconhecido
DHYEGO,masculino
DHYONATAN,masculino
DI,masculino
DIANA,feminino
DIANNE,feminino
DIANSLEY,desconhecido
DIANY,feminino
DIBIO,desconhecido
DICK,masculino
DICKINSON,desconhecido
DICKSIANO,desconhecido
DIDEM,desconhecido
DIDIER,masculino
DIEDRE,desconhecido
DIEGO,masculino
DIEINISON,desconhecido
DIEISSON,masculino
DIENERT,desconhecido
DIERONE,desconhecido
DIESSON,masculino
DIFERSON,desconhecido
DIGENALDO,desconhecido
DILBERTO,masculino
DILDRE,desconhecido
DILIP,desconhecido
DILMA,feminino
DILMEIRE,desconhecido
DILSON,masculino
DIMARY,desconhecido
DIMAS,masculino
DIMITRIA,feminino
DIMITRIOS,masculino
DIMITRIS,desconhecido
DIMITRY,masculino
DIMMY,masculino
DIMPLE,desconhecido
DINA,feminino
DINAIRAN,desconhecido
DINAMERICO,masculino
DIOGENES,masculino
DIOGNEI,desconhecido
DIOGO,masculino
DIOLETE,feminino
DIONATAN,masculino
DIONATHAN,masculino
DIONATRA,desconhecido
DIONE,provavelmente_masculino
DIONI,provavelmente_masculino
DIONISIO,masculino
DIONNE,provavelmente_masculino
DIONNES,desconhecido
DIORGENES,masculino
DIOVANE,masculino
DIOVANNA,feminino
DIOVANNI,desconhecido
DIPTI,desconhecido
DIRCEU,masculino
DIRK,masculino
DIRSON,masculino
DIULHIO,desconhecido
DIVANILSON,masculino
DJALMA,masculino
DJAMEL,desconhecido
DJEFFERSON,desconhecido
DJONATHAM,desconhecido
DMITRY,desconhecido
DMONTIER,desconhecido
DMYTRO,desconhecido
DOMINGOS,masculino
DOMINICK,provavelmente_feminino
DOMINIK,provavelmente_feminino
DOMINIQUE,feminino
DON,masculino
DONALD,masculino
DONGDONG,desconhecido
DONGSHENG,desconhecido
DONGYANG,desconhecido
DONIA,desconhecido
DONNA,desconhecido
DOOHWAN,desconhecido
